source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[sex]	characteristics[strain or breed]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[experimental condition]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[search enzyme]	comment[missed cleavages]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[original sample identifier]	comment[sample description]	comment[search parameter source]	comment[annotation provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[ms1 scan range]	comment[collision energy]	comment[ms2 mass analyzer]	comment[isolation window width]	comment[dynamic exclusion duration]	comment[ms1 resolution]	comment[ms2 resolution]	comment[acquisition parameter source]	factor value[cell type]	factor value[experimental condition]
PXD073269_sample_11	Mus musculus	ovary	oocyte	cell	normal	female	C57BL/6JAusb	not available	3	pooled	In vivo	AP100719_DR_Oo21	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_Oo21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_Oo21.raw	sample 11	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 200 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	oocyte	In vivo
PXD073269_sample_12	Mus musculus	ovary	oocyte	cell	normal	female	C57BL/6JAusb	not available	4	pooled	In vivo	AP100719_DR_Oo22	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_Oo22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_Oo22.raw	sample 12	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 316 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	oocyte	In vivo
PXD073269_sample_13	Mus musculus	ovary	cumulus granulosa cell	cell	normal	female	C57BL/6JAusb	not available	1	pooled	Std IVM	AP100719_DR_CC33	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_CC33.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_CC33.raw	sample 13	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 198 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	cumulus granulosa cell	Std IVM
PXD073269_sample_14	Mus musculus	ovary	cumulus granulosa cell	cell	normal	female	C57BL/6JAusb	not available	2	pooled	Std IVM	AP100719_DR_CC34	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_CC34.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_CC34.raw	sample 14	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 150 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	cumulus granulosa cell	Std IVM
PXD073269_sample_15	Mus musculus	ovary	cumulus granulosa cell	cell	normal	female	C57BL/6JAusb	not available	3	pooled	Std IVM	AP100719_DR_CC35	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_CC35.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_CC35.raw	sample 15	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 106 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	cumulus granulosa cell	Std IVM
PXD073269_sample_16	Mus musculus	ovary	cumulus granulosa cell	cell	normal	female	C57BL/6JAusb	not available	4	pooled	Std IVM	AP100719_DR_CC36	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_CC36.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_CC36.raw	sample 16	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 123 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	cumulus granulosa cell	Std IVM
PXD073269_sample_17	Mus musculus	ovary	cumulus granulosa cell	cell	normal	female	C57BL/6JAusb	not available	1	pooled	CAPA IVM	AP100719_DR_CC37	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_CC37.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_CC37.raw	sample 17	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 198 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	cumulus granulosa cell	CAPA IVM
PXD073269_sample_18	Mus musculus	ovary	cumulus granulosa cell	cell	normal	female	C57BL/6JAusb	not available	2	pooled	CAPA IVM	AP100719_DR_CC38	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_CC38.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_CC38.raw	sample 18	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 156 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	cumulus granulosa cell	CAPA IVM
PXD073269_sample_19	Mus musculus	ovary	cumulus granulosa cell	cell	normal	female	C57BL/6JAusb	not available	3	pooled	CAPA IVM	AP100719_DR_CC39	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_CC39.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_CC39.raw	sample 19	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 106 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	cumulus granulosa cell	CAPA IVM
PXD073269_sample_20	Mus musculus	ovary	cumulus granulosa cell	cell	normal	female	C57BL/6JAusb	not available	4	pooled	CAPA IVM	AP100719_DR_CC40	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_CC40.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_CC40.raw	sample 20	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 126 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	cumulus granulosa cell	CAPA IVM
PXD073269_sample_21	Mus musculus	ovary	cumulus granulosa cell	cell	normal	female	C57BL/6JAusb	not available	1	pooled	In vivo	AP100719_DR_CC41	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_CC41.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_CC41.raw	sample 21	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 277 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	cumulus granulosa cell	In vivo
PXD073269_sample_22	Mus musculus	ovary	cumulus granulosa cell	cell	normal	female	C57BL/6JAusb	not available	2	pooled	In vivo	AP100719_DR_CC42	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Trypsin;AC=MS:1001251	2	1	1	AP100719_DR_CC42.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD073269/AP100719_DR_CC42.raw	sample 22	Independent pooled preparation: mature metaphase-II cumulus-oocyte complexes from multiple female C57BL/6JAusb mice; oocytes and cumulus cells analyzed separately. Biological replicate numbers and maturation labels follow the author SDRF. This preparation used 214 COCs according to the matching maturation arm and replicate in Supplementary Table S1; individual donors and cross-arm pairing are not identified. Author SDRF says six weeks of age, whereas the manuscript gives 4-6 weeks; exact donor ages and a uniform donor developmental stage remain unresolved.	Both deposited mzIdentML AnalysisProtocolCollection blocks specify Trypsin and two missed cleavages, but omit search-modification and mass-tolerance parameters. Their exporter identifies Proteome Discoverer 3.2.0.450; the manuscript and PRIDE protocol describe Proteome Discoverer 2.4. Fixed or variable modifications are not inferred from the sample-preparation reagents.	Agent-assisted curation using Codex and sdrf-skills. Author Oocytesandcumuluscellssdrf.tsv supplies the sample-to-RAW mapping; all 24 RAW headers confirm Q Exactive Plus and DDA, correcting the archive structured Q Exactive HF field. Pooling and strain: https://doi.org/10.1093/humrep/deag134 and Supplementary Table S1. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD073269 . Effective MS2 scan bounds remain unresolved; the generic method-template range is not used as a fixed acquired interval.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	350m/z-1750m/z	30 NCE	NT=orbitrap;AC=MS:1000484	2.5	30 s	70000	17500	Per-file active instrument method text and InstrumentSetupMethod XML from the first 1 MiB of each vendor RAW; acquisition settings are not search tolerances. Method run durations include non-gradient time and are not recorded as LC gradient lengths.	cumulus granulosa cell	In vivo
