source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[ecoli mass fraction]	characteristics[sample amount]	characteristics[spiked compound]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[digestion protocol]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sample description]	comment[replicate provenance]	comment[search parameter source]	comment[annotation provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[ecoli mass fraction]	factor value[sample amount]
PXD053462_Sample-6	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	10 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.5 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_10ng_R2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	2	20220407_KK_HeLa_Ecoli-05perc_10ng_R2_E5_1_6902.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_10ng_R2_E5_1_6902.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 10 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	10 ng
PXD053462_Sample-6	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	10 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.5 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_10ng_R3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	3	20220407_KK_HeLa_Ecoli-05perc_10ng_R3_E6_1_6910.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_10ng_R3_E6_1_6910.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 10 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	10 ng
PXD053462_Sample-2	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	1 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.05 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_1ng_R1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	1	20220407_KK_HeLa_Ecoli-05perc_1ng_R1_B1_1_6867.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_1ng_R1_B1_1_6867.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 1 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	1 ng
PXD053462_Sample-2	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	1 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.05 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_1ng_R2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	2	20220407_KK_HeLa_Ecoli-05perc_1ng_R2_B2_1_6875.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_1ng_R2_B2_1_6875.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 1 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	1 ng
PXD053462_Sample-2	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	1 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.05 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_1ng_R3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	3	20220407_KK_HeLa_Ecoli-05perc_1ng_R3_B3_1_6883.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_1ng_R3_B3_1_6883.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 1 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	1 ng
PXD053462_Sample-2	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	1 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.05 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_1ng_R4	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	4	20220407_KK_HeLa_Ecoli-05perc_1ng_R4_B4_1_6891.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_1ng_R4_B4_1_6891.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 1 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	1 ng
PXD053462_Sample-2	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	1 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.05 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_1ng_R5	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	5	20220407_KK_HeLa_Ecoli-05perc_1ng_R5_B5_1_6899.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_1ng_R5_B5_1_6899.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 1 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	1 ng
PXD053462_Sample-2	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	1 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.05 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_1ng_R6	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	6	20220407_KK_HeLa_Ecoli-05perc_1ng_R6_B6_1_6907.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_1ng_R6_B6_1_6907.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 1 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	1 ng
PXD053462_Sample-2	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	1 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.05 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_1ng_R7	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	7	20220407_KK_HeLa_Ecoli-05perc_1ng_R7_B7_1_6915.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_1ng_R7_B7_1_6915.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 1 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	1 ng
PXD053462_Sample-4	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	5 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.25 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_5ng_R1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	1	20220407_KK_HeLa_Ecoli-05perc_5ng_R1_E1_1_6870.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_5ng_R1_E1_1_6870.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 5 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	5 ng
PXD053462_Sample-4	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	5 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.25 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_5ng_R2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	2	20220407_KK_HeLa_Ecoli-05perc_5ng_R2_E2_1_6878.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_5ng_R2_E2_1_6878.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 5 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	5 ng
PXD053462_Sample-4	Homo sapiens	uterine cervix	adenocarcinoma	epithelial cell	HeLa S3 cell	CVCL_0058	HeLa S3	30Y6M	female	adult	1	5%	5 ng	CT=mixture;CN=Escherichia coli K-12 digest;SP=Escherichia coli;QY=0.25 ng	PXD053462_20220407_KK_HeLa_Ecoli-05perc_5ng_R3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	Trypsin digestion; DIA-NN search cleavage rule K*,R* permits cleavage before proline.	Data-independent acquisition	not available	not available	375	925	25	1	3	20220407_KK_HeLa_Ecoli-05perc_5ng_R3_E3_1_6886.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053462/20220407_KK_HeLa_Ecoli-05perc_5ng_R3_E3_1_6886.d.zip	Commercial HeLa S3 peptide digest with 5% E. coli K-12 digest by peptide mass; total injected peptide amount 5 ng. This is a bulk-digest dilution benchmark.	EcoliSpike_sdrf.txt and Methods specify repeated injections of the same mixture: seven technical replicates at 1 ng and three at 5, 10 and 100 ng. Human-only R1 is absent from the archive; deposited R2-R7 retain their original identifiers.	01_EcoliSpike_Searches.zip: all 39 deposited DIA-NN 1.8.0 logs specify fixed cysteine carbamidomethylation (--unimod4), K*,R* cleavage and two missed cleavages. Mass accuracy is optimized per analysis; a single fixed tolerance is not reported. Spectronaut settings are not represented here.	Agent-assisted curation using Codex and sdrf-skills. Author SDRF component rows combined into one physical acquisition per row; sample amounts sum human and E. coli components. A representative analysis.tdf instrument field confirms timsTOF Pro. All 54 deposited diaSettings.diasqlite files specify 375-925 m/z, width 25, unlike the generalized Methods range. Cell-line donor age and sex: https://www.cellosaurus.org/CVCL_0058 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%	5 ng
